Source,Target,Value
Maaya Sakamoto,Maaya Sakamoto,104
Yoko Kanno,Maaya Sakamoto,95
Yuho Iwasato,Maaya Sakamoto,42
Shin Kono,Maaya Sakamoto,13
Shoko Suzuki,Maaya Sakamoto,9
Zentaro Watanabe,Maaya Sakamoto,8
Tim Jensen,Maaya Sakamoto,7
h-wonder,Maaya Sakamoto,6
Rasmus Faber,Maaya Sakamoto,6
Hiroshi Ichikura,Maaya Sakamoto,5
Frida Sundemo,Maaya Sakamoto,4
Maaya Sakamoto,Nakajima Megumi,4
Gabriela Robin,Maaya Sakamoto,3
Chris Mosdell,Maaya Sakamoto,3
troy,Maaya Sakamoto,3
Shusui,Maaya Sakamoto,3
h's,Maaya Sakamoto,3
Kaori Kano,Maaya Sakamoto,3
Katsutoshi Kitagawa,Maaya Sakamoto,3
Shintaro Tokita,Maaya Sakamoto,3
Ryo Eguchi,Maaya Sakamoto,3
Cornelius,Maaya Sakamoto,3
Toshiyuki Mori,Maaya Sakamoto,3
Takeshi Nakatsuka,Maaya Sakamoto,2
Takashi Hamazaki,Maaya Sakamoto,2
solaya,Maaya Sakamoto,2
Takayuki Hattori,Maaya Sakamoto,2
Keiichi Tomita,Maaya Sakamoto,2
Ginji Ito,Maaya Sakamoto,2
Toru Ishitsuka,Maaya Sakamoto,2
Ryuji Yamamoto,Maaya Sakamoto,2
Shintaro Sakamoto,Maaya Sakamoto,2
Takahito Uchisawa,Maaya Sakamoto,2
Neko Saito,Maaya Sakamoto,2
Yumi Arai/Yumi Matsutoya,Maaya Sakamoto,2
Toshiaki Yamada,Maaya Sakamoto,2
Rei Shibakusa,Maaya Sakamoto,2
Ryo Nagano,Maaya Sakamoto,2
la la larks,Maaya Sakamoto,2
Etsuko,Maaya Sakamoto,1
Alan Brey,Maaya Sakamoto,1
Robin Fredrikson,Maaya Sakamoto,1
Ola Larsson,Maaya Sakamoto,1
Fredeik Hult,Maaya Sakamoto,1
Ryo Yoshimata,Maaya Sakamoto,1
Mina Kubota,Maaya Sakamoto,1
Tabo,Maaya Sakamoto,1
Yuichi Ichikawa,Maaya Sakamoto,1
Bargains,Maaya Sakamoto,1
Aco,Maaya Sakamoto,1
Haruna Yokota,Maaya Sakamoto,1
Tomoki Kanda,Maaya Sakamoto,1
Atsushi Suemitsu,Maaya Sakamoto,1
Jun Shibata,Maaya Sakamoto,1
Taro Yamashita,Maaya Sakamoto,1
Suneohair,Maaya Sakamoto,1
Masahito Ishinari,Maaya Sakamoto,1
Hidetoshi Sakurai,Maaya Sakamoto,1
Yasuyuki Horigome,Maaya Sakamoto,1
Kana Yabuki,Maaya Sakamoto,1
The Band Apart,Maaya Sakamoto,1
Yoji Makino,Maaya Sakamoto,1
Taeko Onuki,Maaya Sakamoto,1
Martin Persson,Maaya Sakamoto,1
Caoli Cano,Maaya Sakamoto,1
Yu Sakai,Maaya Sakamoto,1
Takuo Yamamoto,Maaya Sakamoto,1
Kazumi Someya,Maaya Sakamoto,1
Yoji Kubota,Maaya Sakamoto,1
Alexander Borodin,Maaya Sakamoto,1
Tatsuro Yamashita,Maaya Sakamoto,1
DEPAPEPE,Maaya Sakamoto,1
Tatsuya Murayama,Maaya Sakamoto,1
School Food Punishment,Maaya Sakamoto,1
Koichi Tabo,Maaya Sakamoto,1
Taichi Nakamura,Maaya Sakamoto,1
Takahiro Iida,Maaya Sakamoto,1
Taiyo Yamazawa,Maaya Sakamoto,1
Seiji Mutou,Maaya Sakamoto,1
Jun Kamoda,Maaya Sakamoto,1
Shanti Snyder,Maaya Sakamoto,1
Kensuke Okuda,Maaya Sakamoto,1
Michiko Takada,Maaya Sakamoto,1
GONTITI,Maaya Sakamoto,1
Gakari Ikimono,Maaya Sakamoto,1
Kohei Dojima,Maaya Sakamoto,1
Hiroyasu Yano,Maaya Sakamoto,1
Ichiyo Izawa,Maaya Sakamoto,1
Kento Ohgiya,Maaya Sakamoto,1
Hara Masakazu,Maaya Sakamoto,1
Maaya Sakamoto,Negicco,1
Maaya Sakamoto,Walkure,1
Maaya Sakamoto,Suzuki Minori,1
